
JobID: 1376744

NODE NCPUs CPU_LOAD CPU_USAGE AVAIL_MEM FREE_MEM MEM_USAGE
-----------------------------------------------------------------------------------------------------
s03r2b18 48 18.870 39.312 385500 372927 3.261
s04r2b22 48 18.570 38.688 385500 370923 3.781
s04r2b23 48 18.480 38.500 385500 369981 4.026
s05r1b22 48 17.880 37.250 385500 370322 3.937
s05r1b23 48 17.340 36.125 385500 371706 3.578
s06r2b48 48 15.790 32.896 95200 80267 15.686
s17r2b53 48 19.990 41.646 95200 80412 15.534
s17r2b54 48 19.470 40.562 95200 82076 13.786
s17r2b55 48 19.650 40.938 95200 82130 13.729
s17r2b56 48 20.120 41.917 95200 81936 13.933
s17r2b57 48 19.570 40.771 95200 82673 13.159
s17r2b58 48 19.620 40.875 95200 79724 16.256
s18r1b43 48 29.530 61.521 95200 85275 10.425
s22r2b30 48 16.630 34.646 95200 82483 13.358
s22r2b31 48 16.870 35.146 95200 84411 11.333
s22r2b32 48 16.610 34.604 95200 80672 15.261

